num anc sex sal apbac
1 0 1 1210.00 1
2 4 1 1396.00 4
3 3 1 1532.00 2
4 10 1 2289.00 0
5 12 1 3381.00 2
6 2 1 1405.00 3
7 4 1 1396.00 5
8 9 1 2170.00 5
9 11 2 2776.00 1
10 6 2 1740.00 0
11 0 1 1385.00 2
12 12 1 3229.00 2
13 11 1 2871.00 2
14 2 1 1459.00 0
15 10 1 2424.00 5
16 6 1 1637.00 4
17 7 1 1731.00 3
18 7 2 1868.00 0
19 3 1 1472.00 5
20 8 1 2004.00 5
21 3 2 1484.00 1
22 8 1 1896.00 3
23 1 1 1489.00 3
24 8 1 1984.00 3
25 4 2 1423.00 4
26 8 2 1783.00 0
27 7 2 1886.00 1
28 11 1 2720.00 3
29 8 1 2021.00 2
30 0 1 1463.00 0
31 12 1 3217.00 0
32 2 2 1337.00 5
33 1 1 1299.00 3
34 6 1 1496.00 4
