num anc sex sal apbac
1 9 1 833.00 3
2 4 1 973.00 1
3 1 2 995.00 0
4 2 1 1002.00 3
5 1 2 995.00 2
6 5 1 951.00 5
7 1 1 1004.00 3
8 3 2 978.00 3
9 1 2 1002.00 2
10 9 1 844.00 2
11 6 1 931.00 0
12 12 2 713.00 5
13 6 2 928.00 2
14 11 2 760.00 2
15 6 1 928.00 1
16 1 1 995.00 1
17 8 1 872.00 4
18 3 1 997.00 2
19 3 1 978.00 5
20 9 2 838.00 2
21 7 1 904.00 3
22 8 2 872.00 3
23 7 2 892.00 4
24 12 1 717.00 1
25 10 1 806.00 4
26 4 1 968.00 4
27 12 1 713.00 0
28 5 2 953.00 4
29 12 1 713.00 1
30 2 2 1001.00 3
31 7 1 902.00 3
32 2 1 990.00 2
33 8 1 878.00 1
34 10 2 802.00 2
